Test Series Index,Time Point,Heston Price,Actual Price,Alpha,Eta,Nu,Sigma_nu,Rho,Price Difference,Percentage Error (%)
0,0,4705.088123323378,1974.1,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2730.9881233233777,-138.3409210943406
0,1,4495.652347278625,1974.1,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2521.552347278625,-127.73174344149866
0,2,4254.077488389768,2067.15,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2186.9274883897683,-105.79432979656862
0,3,3882.840241495123,2067.15,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1815.6902414951228,-87.83543726846735
0,4,3899.918486766157,2054.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1845.918486766157,-89.86944920964737
0,5,3628.393846775034,2063.6,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1564.7938467750341,-75.82835078382604
0,6,3567.616409375998,2063.6,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1504.0164093759981,-72.88313672106989
0,7,3025.701656424852,2254.768037317565,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-770.9336191072871,-34.19126075711298
0,8,3444.172428774433,2067.15,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1377.0224287744327,-66.61453831480215
0,9,3580.13432265466,2326.630877567533,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1253.5034450871271,-53.8763349688564
0,10,3658.469813280884,2054.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1604.469813280884,-78.11440181503816
0,11,2499.39099314648,2475.689364105546,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-23.701629040934222,-0.9573749188641647
0,12,5443.819458291095,2486.433097021445,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2957.3863612696496,-118.94091841089029
0,13,3679.237410458769,2076.25,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1602.9874104587689,-77.20589574756261
0,14,3914.142913361287,2101.05,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1813.0929133612867,-86.29461047387194
0,15,3868.558445131228,2201.65,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1666.9084451312278,-75.71178185139453
0,16,3460.612226767102,2187.85,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1272.7622267671022,-58.17410822346606
0,17,3626.083650609333,2207.5,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1418.5836506093328,-64.26200002760285
0,18,3643.499648202247,2250.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1393.499648202247,-61.93331769787764
0,19,5064.604005716908,2318.407797745522,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2746.1962079713862,-118.45181898723149
0,20,4037.50146134906,2350.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1687.5014613490598,-71.80857282336424
0,21,4656.238537670248,2123.227278307605,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2533.0112593626427,-119.30005257758702
0,22,3362.922023059418,2134.707273679275,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1228.2147493801426,-57.5355115206617
0,23,4131.647097562876,2350.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1781.6470975628763,-75.81477010905857
0,24,4996.264442188138,2451.9075822061,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-2544.356859982038,-103.77050417588565
0,25,3416.56344277379,2157.771958850147,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1258.7914839236432,-58.33755873787698
0,26,4075.120328243567,2425.0,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1650.1203282435672,-68.04619910282752
0,27,3452.307377525525,2203.283221738062,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1249.0241557874633,-56.6892237668006
0,28,3858.247952466667,2430.65,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1427.5979524666668,-58.733176412345124
0,29,3761.877119379857,2452.9,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1308.977119379857,-53.36447141668461
0,30,5472.516396465304,2295.203498937121,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-3177.312897528183,-138.43273152030116
0,31,4227.294666896887,2314.3419598333,0.4157612502574921,-0.01881609400734306,0.009947758167982101,0.1683440089225769,-0.2913937106728554,-1912.9527070635872,-82.65644145350826
